_request,_response,_percentage,
Religious books or texts,Usually approved,82,
Religious books or texts,Sometimes approved/sometimes denied,17,
Meetings with leaders from inmates' faith,Usually approved,71,
Meetings with leaders from inmates' faith,Sometimes approved/sometimes denied,26,
Meetings with leaders from inmates' faith,Usually denied,3,
Special religious diet,Usually approved,53,
Special religious diet,Sometimes approved/sometimes denied,40,
Special religious diet,Usually denied,7,
Religious items or clothing,Usually approved,51,
Religious items or clothing,Sometimes approved/sometimes denied,46,
Religious items or clothing,Usually denied,3,
Special hairstyle or grooming,Usually approved,28,
Special hairstyle or grooming,Sometimes approved/sometimes denied,36,
Special hairstyle or grooming,Usually denied,36,
